Book	Smell_Word	Smell_Source	Quality	Full_Sentence
dtae609	riechen		nicht	Mit diesen Nahmen haben Moses / Josua / David / die Propheten und Apostel den grossen GOtt vielfältig beehret / Ihm dadurch das Voraus oder den Vorzug vor allen leblosen Götzen der Heyden zu lassen ; als in denen kein Leben / welche Augen haben und nicht sehen / Mäuler und nicht reden / Ohren und nicht hören / Nasen und nicht riechen / Hände und nicht greiffen / Füsse und nicht gehen .
dtae611	duftendem	Parfum	süss	welche mit süss duftendem Parfum die Salons erfüllt , mich auf ' s freundlichste empfing .
dtae611	duftendem	Parfum	süss	welche mit süss duftendem Parfum die Salons erfüllt , mich auf ' s freundlichste empfing .
dtae611	Gerüche		unmöglichen	Erst als sich endlich die Hütten von Piano di Pietra rossa in geringer Entfernung zeigten , zog die Zufriedenheit wieder in unsern Busen ein ; auf meinen Vorschlag machten wir - da unser heutiges Tagewerk so gut wie vollbracht war - vorher eine mehrstündige Rast , die hier wenigstens nicht durch die Neugier der Sennen und des Viehes , die Stiche aller möglichen Insekten und die Zumuthung aller unmöglichen Gerüche gestört wurde ; das Bedürfniss nach Ruhe war bei jedem von uns dreien lebhaft genug ; die Anstrengungen waren grösser gewesen , als dieser Bericht vielleicht vermuthen lässt , und der Schlaf allein konnte die Folgen unseres Fastens etwas abschwächen .
dtae301	geraucht	Cigarren		Der Graf hatte beim Einsteigen Cigarren geraucht .
dtae301	Hauch		erquickender	Ein erquickender Hauch strömte von den Wiesen , vom Park herüber .
dtae301	Duft	Heu	würzigen	Die Linden hatten längst abgeblüht , aber das schon zum zweiten Mal gemähte und in Haufen gestellte Heu verbreitete würzigen Duft .
dtae301	Duft	Heu	würzigen	Die Linden hatten längst abgeblüht , aber das schon zum zweiten Mal gemähte und in Haufen gestellte Heu verbreitete würzigen Duft .
dtae301	riechen	die Stiefel	nicht	„ Gezankt haben wir uns den ganzen Tag und uns dennoch sozusagen geliebt ! Ich konnte die Stiefelwichse nicht ertragen , die er dem Bedienten für sein Schuhwerk zu nehmen befahl , und darüber haben wir uns eine Rheinreise verdorben ! Er blieb bei seiner Wichse und ich blieb bei meinem : Ich kann die Stiefel nicht riechen ! “ Die Generalin verlangte durchaus , jeder Mensch sollte sich den „ Gemeinplatz “ – die Gänsefüße waren von Ada – angewöhnen , man könnte sich für Alles beherrschen .
dtae301	riechen	die Stiefel	nicht	„ Gezankt haben wir uns den ganzen Tag und uns dennoch sozusagen geliebt ! Ich konnte die Stiefelwichse nicht ertragen , die er dem Bedienten für sein Schuhwerk zu nehmen befahl , und darüber haben wir uns eine Rheinreise verdorben ! Er blieb bei seiner Wichse und ich blieb bei meinem : Ich kann die Stiefel nicht riechen ! “ Die Generalin verlangte durchaus , jeder Mensch sollte sich den „ Gemeinplatz “ – die Gänsefüße waren von Ada – angewöhnen , man könnte sich für Alles beherrschen .
dtae301	duftete		gemüthlich	Es duftete gemüthlich .
dtae2419	Geruch	er	gutten	Es i ſ t aber nicht noth : Sintemal Er bey lebendigem Leibe ſ ich ſ elbe ſ t / ( wie Maria den HErren Chri ſ tum / ) einge ſ albet / daß er einen gutten Geruch nach ſ ich verla ſ ſ en / und man ſ einer ſ o ge ſ chwinde nicht verge ſ ſ en wird / indem Er ſ ich der wohren Gott ſ eeligkeit be ſ lie ſ ſ en / be ſ onders GOttes Wort hertzlich geliebet / und ſ olches nicht allein damit bezeuget / daß Er da ſ ſ elbe gerne geho ͤ ret / und Tag und Nacht darvon geredet / ſ ondern auch bedacht / wie es nach ſ einem Tode andern mo ͤ chte bekand gemacht werden / und Jhm zu ſ einem Leich - Text verle ſ enen Spruch auß dem 126 .
dtae2419	Geruch	er	gutten	Es i ſ t aber nicht noth : Sintemal Er bey lebendigem Leibe ſ ich ſ elbe ſ t / ( wie Maria den HErren Chri ſ tum / ) einge ſ albet / daß er einen gutten Geruch nach ſ ich verla ſ ſ en / und man ſ einer ſ o ge ſ chwinde nicht verge ſ ſ en wird / indem Er ſ ich der wohren Gott ſ eeligkeit be ſ lie ſ ſ en / be ſ onders GOttes Wort hertzlich geliebet / und ſ olches nicht allein damit bezeuget / daß Er da ſ ſ elbe gerne geho ͤ ret / und Tag und Nacht darvon geredet / ſ ondern auch bedacht / wie es nach ſ einem Tode andern mo ͤ chte bekand gemacht werden / und Jhm zu ſ einem Leich - Text verle ſ enen Spruch auß dem 126 .
dtae3569	Duft	antiken Athmosphäre	eigentlichen	Stellen wir uns wissenschaftlich zum Alterthum , mögen wir nun mit dem Auge des Historikers das Gewordene zu begreifen suchen , oder in der Art des Naturforschers die sprachlichen Formen der alterthümlichen Meisterwerke rubrizieren , vergleichen , allenfalls auf einige morphologische Gesetze zurückbringen : immer verlieren wir das wunderbar Bildende , ja den eigentlichen Duft der antiken Athmosphäre , wir vergessen jene sehnsüchtige Regung , die unser Sinnen und Geniessen mit der Macht des Instinktes , als holdeste Wagenlenkerin , den Griechen zuführte .
